path	scope	product_mode	product_blob	final_mode	final_blob	comparison
.github/workflows/pages.yml	other	100644	517bba36675d36fa5989e192782c807b597c75d4	100644	517bba36675d36fa5989e192782c807b597c75d4	product_exact
.gitignore	other	100644	5888c25b2905d484460b158e3a5c1e93dc93d3fc	100644	5888c25b2905d484460b158e3a5c1e93dc93d3fc	product_exact
AGENTS.md	other	100644	2b6ab1895af89bf72565ed7034b023373034b8a9	100644	2b6ab1895af89bf72565ed7034b023373034b8a9	product_exact
LICENSE	other	100644	17c7dfad2e83fe7d3fbde5b0039706f99ae078a6	100644	17c7dfad2e83fe7d3fbde5b0039706f99ae078a6	product_exact
PAPER.md	other	100644	5b13e0d875879e597e9e15d0fa09402b04aa76b0	100644	5b13e0d875879e597e9e15d0fa09402b04aa76b0	product_exact
README.md	other	100644	642787b6d4860e9e8af20bdfdffd38e8b5f187a0	100644	642787b6d4860e9e8af20bdfdffd38e8b5f187a0	product_exact
app/README.md	app	100644	5fb6f5084c29a1d6f20804f02e4842279c714b00	100644	5fb6f5084c29a1d6f20804f02e4842279c714b00	product_exact
app/core/attention.py	app	100644	4d98f2ae6d7b300f56915303915ffab160fdacff	100644	4d98f2ae6d7b300f56915303915ffab160fdacff	product_exact
app/core/bridge.py	app	100644	fc54a981c48ea375dee76e61ed612394b51dc981	100644	fc54a981c48ea375dee76e61ed612394b51dc981	product_exact
app/core/client.mjs	app	100644	46575f9adbd05ffcfa0167e206fe52d32261b8f0	100644	46575f9adbd05ffcfa0167e206fe52d32261b8f0	product_exact
app/core/core.py	app	100644	1e1a666e9ede9f22411ff18fcced1e68c1f60e90	100644	1e1a666e9ede9f22411ff18fcced1e68c1f60e90	product_exact
app/core/file_candidates.py	app	100644	58de3474dac08fe4149f6a8b2559058d82d56a66	100644	58de3474dac08fe4149f6a8b2559058d82d56a66	product_exact
app/core/governance.py	app	100644	dcf1c58bc5cb9d1f1366ed5694bd40315e32a9fc	100644	dcf1c58bc5cb9d1f1366ed5694bd40315e32a9fc	product_exact
app/core/owner.mjs	app	100644	613bada992ccb3637638df28af7360a90eb46307	100644	613bada992ccb3637638df28af7360a90eb46307	product_exact
app/docs/README.md	app	100644	01b6fc0432ca68f399368b8a438db579dd0bee0a	100644	01b6fc0432ca68f399368b8a438db579dd0bee0a	product_exact
app/docs/api-runtime-mx-r1.md	app	100644	15698c4d27e6eaefaaec271c1b93c770eeef4f65	100644	15698c4d27e6eaefaaec271c1b93c770eeef4f65	product_exact
app/docs/api-v6.md	app	100644	4915a72d78e0ebd4ad50162ad901a29e85c22f43	100644	4915a72d78e0ebd4ad50162ad901a29e85c22f43	product_exact
app/docs/async-tasks.md	app	100644	a21f62bcf3f104b7032392f1cbafe7d44b718925	100644	a21f62bcf3f104b7032392f1cbafe7d44b718925	product_exact
app/docs/attention-agent.md	app	100644	62ee466d01a328b6c284a31127067c1e9bf8f0fb	100644	62ee466d01a328b6c284a31127067c1e9bf8f0fb	product_exact
app/docs/coordination.md	app	100644	195067e9eaf0ddd62f814dc0db9b912c5540926e	100644	195067e9eaf0ddd62f814dc0db9b912c5540926e	product_exact
app/docs/dependency-ledger.json	app	100644	6d30d401475af086a5ceaa959a7d1acfca000f4f	100644	6d30d401475af086a5ceaa959a7d1acfca000f4f	product_exact
app/docs/permission-cas.md	app	100644	d5f9d9a2280e7c220f369b307220b938af8bcd3e	100644	d5f9d9a2280e7c220f369b307220b938af8bcd3e	product_exact
app/docs/request-telemetry.md	app	100644	19334bc92b2fce052e979a24c9307143c76a2444	100644	19334bc92b2fce052e979a24c9307143c76a2444	product_exact
app/docs/run-attempts.md	app	100644	91f3aefde0a84d19979808f88a9b98a375acfcad	100644	91f3aefde0a84d19979808f88a9b98a375acfcad	product_exact
app/docs/runtime-api-proposal.md	app	100644	be0fead7517d68dacef13770a6c7734c3f920771	100644	be0fead7517d68dacef13770a6c7734c3f920771	product_exact
app/docs/runtime-foundation.md	app	100644	14a8adc02175b7143df8f4208b954b845bcb6d8a	100644	14a8adc02175b7143df8f4208b954b845bcb6d8a	product_exact
app/docs/turn-ownership-review.md	app	100644	f781630cf5b523a0204c5bc5cbd45b368f3e42e2	100644	f781630cf5b523a0204c5bc5cbd45b368f3e42e2	product_exact
app/docs/upstream-integration.md	app	100644	4c9a0c4c9954289903ee8bacd235023957c0ca51	100644	4c9a0c4c9954289903ee8bacd235023957c0ca51	product_exact
app/docs/usage-details.md	app	100644	a032503ab88da726f827664f6dbc02bd86a6aad3	100644	a032503ab88da726f827664f6dbc02bd86a6aad3	product_exact
